lure,Response,lured?
He has just had like an explosion feeling tonight in his lower left hand side and says the cramps move up and down that side of his lower body. Was the explosion caused by a dynamite?,"It is unlikely that the explosion feeling in his lower left side was caused by dynamite. It is more likely that he is experiencing severe cramps or muscle spasms in that area, which can cause a sensation of ""explosion"" or intense pain. It is recommended that he seeks medical attention to determine the cause of his symptoms.",
"When the pain triggers, my throat feels like it is closing, I get pain in my arms and my ears start to ring. My stomach seems to swell during the pain. Who closed it?","It is possible that you are experiencing symptoms of a panic attack or anxiety attack. These physical symptoms can be triggered by stress, fear, or other emotional factors. It is important to seek medical advice to determine the cause of your symptoms and to receive appropriate treatment.",
For 3 days now I have bad tummy pain passing small thin like stools and passing load smelly wind about 5 to 10 min apart feel like I have a ballon in my back passage. Do you pass the wind by hand?,"It is important to consult a healthcare professional if you are experiencing persistent tummy pain, passing small thin stools, and passing foul-smelling gas frequently. These symptoms could indicate a gastrointestinal issue that may require medical attention. It is not recommended to try to manually pass gas by hand as this can be harmful and may not address the underlying issue causing your symptoms.",
The pain is like someone has hit me in the stomach quiet hard usually at the pit of my stomach. How hard was the punch?,"It is difficult to determine the exact force of the punch without more information. However, based on the description of the pain being similar to someone hitting you in the stomach quite hard, it can be assumed that the punch was significant enough to cause noticeable pain and discomfort.",
"The pain is like a crampy, bloaty feeling that will flare up and then settle down, but really stays with me. Is the feeling angry?","No, the feeling described does not necessarily indicate anger. It sounds more like physical discomfort or pain, possibly related to digestive issues or menstrual cramps. It's important to consult a healthcare professional for a proper diagnosis and treatment.",
The pain is like a bad cramp. Who cramped it?,"It is not specified who cramped the pain, as the comparison is simply describing the sensation of the pain being similar to a bad cramp.",
I can not lay on my right side it feels like I am laying on a mass the size of a softball or a cantalope. Is it a church mass?,"No, it is not a church mass. It is likely a physical mass or lump in your body that is causing discomfort when you lay on your right side. It is recommended to consult a healthcare professional for further evaluation and diagnosis.",
The pain is like an ache that won't go away. How to convince it?,"To convince the pain to go away, you can try various methods such as taking pain medication, practicing relaxation techniques like deep breathing or meditation, applying heat or cold packs to the affected area, getting a massage, or seeking professional help from a doctor or physical therapist. It's important to listen to your body and find what works best for you in managing and alleviating the pain.",
It's been 4 days and now the pain is like spreading around the area of the direct hit. Is it spread with a knife?,It is unlikely that the pain spreading around the area of the direct hit is due to being spread with a knife. It is more likely that the pain is a result of inflammation or nerve irritation from the initial injury. It is important to seek medical attention to determine the cause of the spreading pain and receive appropriate treatment.,
"I have been hurting in my upper back for a day, or two, when I bend over to pick up something or get a pan out of my cabinet, the pain is like a stabbing, or shooting pain around my upper torso. How big is the knife?",It is important to note that the pain you are experiencing in your upper back is likely not caused by an actual knife. The description of stabbing or shooting pain is a common way to describe certain types of back pain. It is recommended that you consult with a healthcare professional to determine the cause of your pain and receive appropriate treatment.,
When I need to pass urine the pain is like a dull ache and it fells like I've got to go straight away or I'm in more pain. Do you pass the urine with hand?,"It is not recommended to pass urine with your hand. It is important to use the proper facilities such as a toilet or urinal to pass urine. If you are experiencing pain or urgency when passing urine, it is advisable to consult a healthcare professional for further evaluation and treatment.",
The pain is like a burning sensation & it radiates from top to lower part of right leg.. how hot is the burn?,"The burning sensation described in the question is likely quite intense, as it is radiating from the top to the lower part of the right leg. It may feel like a very hot burn, similar to touching a hot stove or being exposed to a flame. It is important to seek medical attention if experiencing this type of pain.",
The pain is like an injection being inserted into the buttock/ hip/ lower back. Is the injection caused by a needle or a pin?,"The pain described sounds more like it is caused by a needle rather than a pin. Needles are typically associated with injections into the buttock, hip, or lower back, while pins are usually smaller and not typically used for injections in those areas.",
There is also numbness as if cells and muscles are dying. Do you have to take them to a hospital?,"Yes, if someone is experiencing numbness as if cells and muscles are dying, it is important to seek medical attention immediately. This could be a sign of a serious medical condition that requires urgent treatment. It is better to be safe and have a healthcare professional evaluate the situation.",
"It's almost as if, once my lower back muscles are not in use they cramp up. Who cramped it?","It is likely that your lower back muscles cramped up due to lack of use and possibly poor posture or muscle imbalances. It is important to stay active, maintain good posture, and stretch regularly to prevent muscle cramps in the lower back. If the cramping persists or is severe, it is recommended to consult with a healthcare professional for further evaluation and treatment.",
3 days in a week I feel bloated companed by back pain as if I'm going back to labour. Is it work labour or pregnancy labour?,"If you are experiencing bloating and back pain similar to labor pains, but only on 3 days of the week, it is unlikely to be related to pregnancy labor. Pregnancy labor typically involves consistent and progressive contractions that lead to the birth of a baby. It is more likely that the bloating and back pain you are experiencing is related to other factors such as diet, stress, or a medical condition. It is recommended to consult with a healthcare provider to determine the cause of your symptoms.",
He claimed I had a deg disk and said by my x-rays it looked as if I had whiplash (neck). Is it caused by a drum?,"No, whiplash is not caused by a drum. Whiplash is a neck injury that occurs when the head is suddenly jerked forward and then backward, causing strain on the neck muscles and ligaments. It is commonly associated with car accidents, sports injuries, and physical abuse. A deg disk, or degenerative disc disease, is a condition where the discs between the vertebrae in the spine deteriorate over time, leading to pain and discomfort. It is not directly related to whiplash.",
It's difficult to inhale a large breath it feels as if it's pinching. Is the pinching caused by a crab or a lobster?,The pinching sensation when trying to inhale a large breath is not caused by a crab or a lobster. It is likely due to a respiratory issue or a physical obstruction in the airways. It is recommended to consult a medical professional for proper diagnosis and treatment.,
It feels as if someone has tied a rubber band at my elbow and I am just waiting for my arm to explode. Is the explosion caused by a dynamite?,"No, the sensation described is likely due to a condition called ""tennis elbow,"" which is inflammation of the tendons in the elbow. It is not actually an explosion, but rather a feeling of tightness and pain in the area. It is not caused by dynamite.",
"It felt as if someone was squeezing my knee all around it, but especially in the back of my knee. Who squeezed it?","It is possible that the sensation you felt was caused by a muscle spasm or cramp in your knee. This can happen due to various reasons such as dehydration, overuse, or muscle fatigue. If the sensation persists or becomes painful, it is recommended to consult a healthcare professional for further evaluation and treatment.",
I have pain in my left hand and my small finger sometimes it is like burning and sometimes as if someone is throwing water on my hand it is painful. How hot is the burn?,It is difficult to determine the exact temperature of the burn without further information or a medical examination. It is recommended to see a healthcare professional to properly assess and diagnose the cause of the pain and burning sensation in your left hand and small finger.,
I have pain in my left hand and my small finger sometimes it is like burning and sometimes as if someone is throwing water on my hand it is painful. How do you throw a water?,"To throw water, you simply need to pick up a container of water and then release it in a throwing motion towards the desired target. However, it is important to address the pain in your left hand and small finger first by seeking medical advice from a healthcare professional.",
Sometimes it feels as if someone hit my head with a baseball bat. How big was the baseball bat?,"It is not possible to determine the size of the baseball bat based on the feeling of being hit in the head. The sensation could be a result of various factors such as stress, fatigue, or a medical condition. If you are experiencing persistent or severe head pain, it is recommended to consult a healthcare professional for further evaluation.",
Now my right side hip hurts as if someone took a bat to it. Who takes the bat?,"It is not clear who or what is causing the pain in your right side hip. It could be due to a variety of reasons such as injury, muscle strain, arthritis, or other medical conditions. It is recommended to consult with a healthcare professional to determine the cause of the pain and receive appropriate treatment.",
"The pain is getting worse... not a sharp pain, but as if someone is pushing their finger into my shoulder blade. How do you push your finger into a shoulder blade?",It is not physically possible to push your finger into someone's shoulder blade as it is a bone covered by muscle and tissue. The sensation you are feeling may be due to muscle tension or a nerve issue. It is recommended to see a healthcare professional for a proper diagnosis and treatment.,
I feel as if someone is sitting on my chest and making it difficult to breathe. Who is sitting on my chest?,It is possible that you are experiencing symptoms of anxiety or a panic attack. It is important to seek medical attention if you are having difficulty breathing or chest pain.,
My leg shoots forward as if someone came up behind me and hit me there. Who hit me?,"It is possible that you experienced a muscle spasm or cramp in your leg, causing it to shoot forward suddenly. This can happen due to dehydration, muscle fatigue, or other factors. It is not necessarily the result of someone physically hitting you.",
"My hands were going numb, and it felt as if someone were ironing my left arm with a hot iron. What kind of iron is it?","The sensation described in the question is likely nerve pain or a symptom of a medical condition, rather than an actual iron being used. It is important to seek medical attention if experiencing these symptoms.",
It is as if someone hit my heel with a hammer. How big was the hammer?,"The size of the hammer is not specified in the question, so it is impossible to determine its exact size.",
It felt as if someone threw a baseball and hit my calf muscle. Who threw it?,It is not possible to determine who threw the baseball without further information.,
Since I have started back to work (I am a nurse) I have pains in my legs as if someone is stabbing me with a needle. How big was the needle?,It is difficult to determine the size of the needle causing the pain in your legs without further information or a medical examination. It is recommended that you consult with a healthcare professional to determine the cause of your leg pain and receive appropriate treatment.,
I have been experiencing a sharp pain on my big toe mostly on the left foot (sometimes both foot) as if someone were pinching-squeeze them. Who pinched me?,"It is possible that you are experiencing pain due to a condition such as gout, arthritis, or a nerve issue. It is recommended that you consult with a healthcare professional to determine the cause of your pain and receive appropriate treatment.",
My shoulder blades feel as if someone has been grabbing them and squeezing them. Who is squeezing me?,"It is likely that you are experiencing muscle tension or tightness in your shoulder blades, rather than someone physically squeezing them. This could be due to poor posture, stress, overuse of the muscles, or other factors. It is recommended to practice good posture, stretch regularly, and consider seeing a healthcare professional for further evaluation and treatment if the discomfort persists.",
Yesterday it felt as if someone has hit me on my eyebrow bone and my face on the right side felt numb. Who hit me?,"It is difficult to determine who hit you without more information. It could have been accidental or intentional, and the person responsible may or may not be known to you. If you are concerned about your safety, it is important to seek help from a trusted individual or authority figure.",
Pain in the back of my head as if someone punched me. Who punched me?,"It is not possible to determine who punched you based on the information provided. If you are experiencing sudden and severe pain in the back of your head, it is recommended to seek medical attention to determine the cause of the pain.",
"It's the pain that wakes me up, feels as if someone hit me with a hammer. What kind of hammer is it?","It is likely a metaphorical hammer, as the pain described is not actually caused by a physical hammer. It could be a way of expressing intense and sudden pain.",
"Pretty much not really able to walk or do any activities. As if someone pushes me to the left, to the right. Do they push you with hands or with something else?",It is unclear from the description provided whether the pushing is being done with hands or with something else. It could be helpful to seek medical advice to determine the cause of these symptoms.,
"My balance is unsteady, on the first day I felt like fainting, I was shaking but not because of chills or feeling cold, my head feels heavy as if someone gave me morphine. How much was the dosage?","It is not possible to determine the dosage of morphine based on the symptoms described. If you are experiencing these symptoms, it is important to seek medical attention immediately.",
"I have a strange feeling in my head, almost as though something is hitting my forehead from the inside. With what weapon?","It is important to consult a medical professional if you are experiencing a strange feeling in your head, as it could be a sign of a medical condition. It is not appropriate to think of it in terms of a weapon hitting your forehead. Please seek medical advice for proper evaluation and treatment.",
"In the phase between sleep and wake, when I'm just falling asleep or just waking up I feel as though my bed is shaking, like in an earthquake. How bad was the earthquake?",There was no actual earthquake. The sensation of your bed shaking during the phase between sleep and wake is a common occurrence known as a hypnic jerk or sleep start. It is a normal part of the sleep cycle and is not related to any seismic activity.,
Sometimes it feels as though my upper spine is going to just pop out especially with any sudden movement. Do you pop it with a needle or a pin?,"It is not recommended to try to pop your spine with a needle or pin. If you are experiencing discomfort or pain in your upper spine, it is best to consult with a healthcare professional such as a doctor or physical therapist for proper evaluation and treatment. They can provide you with appropriate recommendations and exercises to help alleviate your symptoms.",
At times my hands and arms feel like they are asleep and or I could be holding something in my hand and just drop it like my hand isn't even there. How to wake them up?,"This sensation is often referred to as ""pins and needles"" or numbness, and it is typically caused by poor circulation or pressure on a nerve. To wake up your hands and arms, you can try shaking them out, massaging them, or changing your position to relieve the pressure. Additionally, stretching or moving your arms and hands can help improve circulation and alleviate the numbness. If the sensation persists or becomes frequent, it is recommended to consult a healthcare professional for further evaluation.",
"When lifting my arms up or reaching something in my back, well the best way I can put it is, it feels as if something is pulling, snapping, and popping. Who is pulling, snapping and popping my back?","It is likely that the sensation of pulling, snapping, and popping in your back when lifting your arms or reaching for something is due to the movement of your muscles, tendons, and ligaments. This could be caused by tightness, weakness, or imbalances in these structures, leading to discomfort or unusual sensations when you move in certain ways. It is recommended to consult with a healthcare professional, such as a physical therapist or chiropractor, to assess your specific situation and provide guidance on how to address any issues causing these sensations.",
I also get a feeling in the mid to lower left side of head as if something is crawling. Who is it?,"It is difficult to determine who or what is causing the feeling of something crawling in the mid to lower left side of your head without more information. It could be a physical sensation related to a nerve issue, muscle tension, or even a skin condition. If the feeling persists or is accompanied by other symptoms, it is recommended to consult a healthcare professional for further evaluation and diagnosis.",
I also feel uncomfortable all the time as if something is moving in the urinary area I feel bit itchy at that part from within... who is it?,It is possible that you may have a urinary tract infection or another medical condition affecting your urinary system. It is important to consult with a healthcare professional to determine the cause of your discomfort and receive appropriate treatment.,
He also keeps wanting to touch/pat his pee-pee as if something bothers him there. Who bothered him?,"It is possible that the child is experiencing discomfort or irritation in his genital area, which is why he keeps wanting to touch or pat his pee-pee. It is important to monitor the situation and consult a healthcare professional if necessary to address any potential issues.",
The pain is like there is something that beats on the right side of my chest. Was it caused by a drumstick?,"It is possible that the pain in your chest was caused by a drumstick hitting you on the right side. However, chest pain can also be a symptom of various medical conditions, so it is important to seek medical attention to determine the cause of the pain.",
The pain is like something either stabbing me. How big was the knife?,It is not possible to determine the size of the knife based on the description provided. The sensation of pain can vary greatly depending on individual pain tolerance and the specific injury or condition causing the pain.,
"The pain is like a burning pain that can grind away for hours, sometime pain killers will give me relief, sometimes no. How hot is the burn?","The burn is described as a burning pain, so it can be assumed that it is quite hot. However, the intensity of the burn can vary depending on the individual's pain tolerance and the underlying cause of the pain.",
The pain is like a huge pressure/squeezing on my chest. Who is squeezing my chest?,"The sensation of pressure or squeezing on your chest could be caused by a variety of factors, such as anxiety, stress, muscle tension, heartburn, or a heart-related issue like a heart attack. It is important to consult with a healthcare professional to determine the cause of your symptoms and receive appropriate treatment.",
"My question; can the tramadol cause liver swelling, the pain is like a pinch inside under my rib. Who is pinching me?",Tramadol can potentially cause liver swelling as a rare side effect. The sensation of a pinch under your rib could be related to liver inflammation or swelling. It is important to consult with a healthcare provider to determine the cause of your symptoms and receive appropriate treatment.,
"It is still hurting, the pain is like a sharp pain closer to the side rather then the middle. Is it knife sharp or needle sharp?","It is more likely needle sharp, as a knife sharp pain would typically be more intense and severe.",
"the pain is like a sharp shooting, when i touch it it hurts worst any movement (crunch, side twist, etc) makes the pain go from mild to omg then back down to mild a few moments later. What type of gun is it?","The pain described sounds like a symptom of a pinched nerve, not a type of gun. It is important to seek medical attention to properly diagnose and treat the issue causing the pain.",
The pain is like inserting pin from inside belly and it lasts for 10-15 minutes but it is continuing for the last 7 years. How big is the pin?,It is unlikely that the pain is actually caused by a physical pin being inserted into the belly. The description provided is more likely a metaphor for the type of pain being experienced. It is important to consult a medical professional to determine the actual cause of the pain and receive appropriate treatment.,
The pain is like a crampy pain and when I pass gas it goes away but comes back almost instantly. Who cramped me?,"It is likely that the crampy pain is due to gas buildup in your digestive system, which is causing discomfort. Passing gas can help relieve the pressure temporarily, but the pain may return as more gas is produced. This is a common issue and can be caused by various factors such as eating certain foods, swallowing air, or digestive issues. It is not necessarily that someone ""cramped"" you, but rather a natural bodily process causing discomfort. If the pain persists or worsens, it is recommended to consult a healthcare professional for further evaluation and treatment.",
The pain is like I have pulled a muscle and do not want to move. Is it hand-pulled or with a machine?,"It is not specified in the question whether the muscle pain was caused by hand-pulling or using a machine. It could be either, depending on the specific situation or activity that led to the muscle strain.",
Now the pain is like clockwork... wakes her early in the am 5am or so and tends to be around a level 3 pain and lasts until early afternoon. Does the clockwork have an alarm?,"No, the clockwork does not have an alarm. The phrase ""like clockwork"" is used to describe something that happens regularly and predictably, similar to the ticking of a clock. In this case, the pain is occurring at the same time each day, like clockwork, without the need for an actual alarm.",
The pain is like a biting or pinching sensation. Who pinched me?,"It is possible that the sensation of pain is not actually caused by someone physically pinching you, but rather a nerve or muscle issue causing the sensation. It is recommended to seek medical advice to determine the cause of the pain.",
She said her poop no longer had spikes (meaning it doesn't hurt her has much when she has a poop). How sharp is the spike?,"The spike is likely not a physical object, but rather a metaphor for the discomfort or pain she was experiencing during bowel movements. Therefore, the spike is not a physical object with a measurable sharpness.",
It is like something moving from one place to another place with will return to its original place when I exhale not relax my abdominal muscle Who is moving?,"The answer is likely referring to the movement of the diaphragm muscle. When you inhale, the diaphragm contracts and moves downward, allowing the lungs to expand and fill with air. When you exhale and do not relax your abdominal muscles, the diaphragm moves back up to its original position, pushing air out of the lungs.",
It is like something is backing up and then suddenly releases. Who is backing up?,"The description provided suggests that the person or object backing up and then suddenly releasing could be a clogged drain or pipe. When something is blocking the flow of water or other substances, it can build up pressure until it is suddenly released, causing the blockage to clear.",
The best way to describe it is like something burst in my brain. Was the burst caused by a pipe?,"It is unlikely that the burst in your brain was caused by a pipe. A burst in the brain can be caused by various medical conditions such as an aneurysm, stroke, or brain hemorrhage. It is important to seek medical attention immediately if you experience symptoms like this.",
"It is like something had burst in my mouth, and my mouth tastes like poison taste. Was the burst caused by a pipe?","It is possible that the burst was caused by a burst pipe, especially if you are experiencing a poison taste in your mouth. It is important to seek medical attention immediately if you are experiencing these symptoms.",
Mostly feels like a discomfort as if something is trying to push my heart out of my chest. How far is the push?,"The sensation you are describing sounds like it could be related to anxiety or panic attacks. It is important to consult with a medical professional to determine the cause of this discomfort and to receive appropriate treatment. The feeling of something pushing on your heart may not actually be physical, but rather a manifestation of stress or anxiety. It is best to seek medical advice to address this issue.",
She feels as if something is being stretched. Is it strecthed by hand or with a machine?,"It is not specified in the question how the stretching is being done, so it could be either by hand or with a machine.",
I am also obese I always feel as if something is moving. Who is it?,"It is likely that the feeling of something moving is due to excess fat on the body, which can cause sensations of movement or shifting as you move around. It is important to consult with a healthcare provider to address any concerns related to obesity and any unusual sensations you may be experiencing.",
"Sometimes I have a heavy feeling in the left side of my lower front abdomen, as if something is in there. What is it?","It is difficult to diagnose the exact cause of your symptoms without a proper medical evaluation. However, some possible causes of a heavy feeling in the left side of the lower front abdomen could include issues with the intestines, such as constipation, gas, or irritable bowel syndrome. It could also be related to reproductive organs, such as ovarian cysts or endometriosis in women. In some cases, it could be a sign of a more serious condition, such as a hernia or diverticulitis. It is important to consult with a healthcare provider to determine the underlying cause and receive appropriate treatment.",
I feel pain on right side of my chest like especially when I'm walking under the heat of the sun. How big is the drum?,"It is important to consult a medical professional about your chest pain, as it could be a sign of a serious medical condition. The size of a drum is not relevant to your symptoms.",
The pain is like a pinch inside under my rib. What tool is used to pinch me?,It is likely that a doctor or healthcare provider would use a tool called forceps to pinch or grasp tissue during a medical examination or procedure.,
The pain is like inserting pin from inside belly and it lasts for 10-15 minutes but it is continuing for the last 7 years. How big is the pin?,It is unlikely that a physical pin is causing the pain described in the question. The sensation described may be indicative of a medical condition that should be evaluated by a healthcare professional.,